Geneid	Chr	Start	End	Strand	Length	G1_Rep1	G1_Rep2	G1_Rep3	G2_Rep1	G2_Rep2	G2_Rep3	G3_Rep1	G3_Rep2	G3_Rep3
gene96	chr1	288000	289974	+	1974	50	68	63	64	68	49	72	62	74
gene97	chr1	291000	293799	+	2799	64	60	74	49	55	49	56	64	63
gene98	chr1	294000	295244	+	1244	51	69	46	69	69	50	49	67	54
gene99	chr1	297000	299329	+	2329	47	59	45	57	55	62	62	63	74
gene100	chr1	300000	302231	+	2231	51	53	50	66	63	61	52	67	55
gene101	chr1	303000	304602	+	1602	68	56	73	73	48	69	74	64	65
gene102	chr1	306000	308609	+	2609	50	46	63	71	49	59	56	46	54
gene103	chr1	309000	311400	+	2400	61	70	73	61	56	66	74	50	73
gene104	chr1	312000	313440	+	1440	48	72	55	55	64	61	69	47	53
gene105	chr1	315000	316932	+	1932	56	49	58	61	71	74	59	72	46
gene106	chr1	318000	319082	+	1082	65	66	55	45	58	51	60	46	67
gene107	chr1	321000	321869	+	869	74	67	54	45	54	54	50	67	50
gene108	chr1	324000	326599	+	2599	56	65	66	49	48	72	49	64	48
gene109	chr1	327000	328574	+	1574	58	46	69	74	49	65	72	46	55
gene110	chr1	330000	331703	+	1703	63	64	51	70	47	57	63	57	61
gene111	chr1	333000	333872	+	872	74	58	67	46	55	47	53	65	49
gene112	chr1	336000	337125	+	1125	59	47	52	56	71	56	57	58	61
gene113	chr1	339000	341260	+	2260	73	73	60	52	68	69	60	55	45
gene114	chr1	342000	343713	+	1713	55	68	52	68	65	66	51	50	54
gene115	chr1	345000	347756	+	2756	67	47	67	56	65	65	53	71	63
gene116	chr1	348000	349055	+	1055	69	48	67	68	67	66	51	50	54
gene117	chr1	351000	351825	+	825	68	70	63	54	62	51	62	49	58
gene118	chr1	354000	355964	+	1964	58	67	59	46	66	51	49	62	45
gene119	chr1	357000	359114	+	2114	71	46	64	69	67	64	54	61	67
gene120	chr1	360000	361230	+	1230	68	63	50	59	50	59	52	58	55
gene121	chr1	363000	364906	+	1906	1	2	2	2	1	2	2	2	1
gene122	chr1	366000	368684	+	2684	2	1	1	1	1	2	2	2	1
gene123	chr1	369000	370879	+	1879	2	1	1	2	2	1	1	2	1
gene124	chr1	372000	374498	+	2498	1	2	2	2	2	2	2	2	2
gene125	chr1	375000	377283	+	2283	1	1	1	2	1	2	2	2	1
gene126	chr1	378000	379668	+	1668	2	1	2	2	1	2	2	2	2
gene127	chr1	381000	383331	+	2331	2	1	2	2	2	2	1	1	1
gene128	chr1	384000	386671	+	2671	2	2	1	2	1	2	2	1	1
gene129	chr1	387000	388248	+	1248	2	2	1	1	1	1	2	1	1
gene130	chr1	390000	391278	+	1278	2	1	2	1	1	1	2	2	1
gene131	chr1	393000	394890	+	1890	2	2	1	1	2	1	2	1	1
gene132	chr1	396000	397390	+	1390	2	2	2	2	1	2	2	2	2
gene133	chr1	399000	400639	+	1639	1	2	2	1	1	2	1	2	2
gene134	chr1	402000	403486	+	1486	2	2	1	1	1	1	2	1	1
gene135	chr1	405000	406634	+	1634	2	2	1	2	1	1	2	2	1
gene136	chr1	408000	409895	+	1895	1	1	2	2	1	1	2	2	2
gene137	chr1	411000	413532	+	2532	2	2	1	2	2	2	2	2	2
gene138	chr1	414000	415653	+	1653	2	2	1	2	1	2	1	2	1
gene139	chr1	417000	418621	+	1621	2	2	1	1	2	2	1	1	1
gene140	chr1	420000	421184	+	1184	1	1	2	2	2	2	2	2	1
gene141	chr1	423000	424028	+	1028	1	1	2	1	2	2	2	1	2
gene142	chr1	426000	427705	+	1705	1	2	1	2	1	1	1	1	2
gene143	chr1	429000	430293	+	1293	1	1	1	2	2	1	1	1	2
gene144	chr1	432000	434062	+	2062	2	1	2	2	1	1	2	2	2
gene145	chr1	435000	436008	+	1008	1	1	1	2	2	1	2	2	2
gene146	chr1	438000	439934	+	1934	2	1	1	1	2	1	1	2	2
gene147	chr1	441000	442480	+	1480	2	2	2	2	2	2	2	2	1
gene148	chr1	444000	446186	+	2186	2	2	1	2	2	1	2	2	1
gene149	chr1	447000	448313	+	1313	2	1	1	1	2	2	2	1	2
gene150	chr1	450000	451777	+	1777	2	2	1	2	2	1	1	1	1
gene151	chr1	453000	454885	+	1885	2	2	1	1	1	1	1	2	1
gene152	chr1	456000	458331	+	2331	2	2	1	1	1	2	2	2	2
gene153	chr1	459000	461379	+	2379	2	2	1	2	1	1	2	1	1
gene154	chr1	462000	463609	+	1609	1	1	1	2	2	2	2	2	2
gene155	chr1	465000	466265	+	1265	2	1	1	1	1	1	1	2	2
gene156	chr1	468000	468848	+	848	2	1	2	2	2	1	1	1	1
gene157	chr1	471000	472035	+	1035	1	2	1	2	1	2	2	2	1
gene158	chr1	474000	475802	+	1802	1	2	2	2	2	1	2	1	2
gene159	chr1	477000	479015	+	2015	1	1	2	2	2	2	2	1	2
gene160	chr1	480000	481535	+	1535	1	2	1	2	1	2	1	1	1
gene161	chr1	483000	484903	+	1903	1	1	1	1	2	1	1	2	2
gene162	chr1	486000	488151	+	2151	1	2	2	2	1	1	1	1	2
gene163	chr1	489000	491347	+	2347	2	2	2	2	2	1	1	2	1
gene164	chr1	492000	494001	+	2001	1	2	2	2	2	1	2	1	1
gene165	chr1	495000	497618	+	2618	1	1	2	1	2	1	1	2	2
gene166	chr1	498000	500111	+	2111	2	2	2	2	1	2	2	1	1
gene167	chr1	501000	502822	+	1822	1	1	2	2	1	2	1	2	2
gene168	chr1	504000	504981	+	981	1	2	2	1	2	1	2	2	2
gene169	chr1	507000	507960	+	960	2	2	2	1	1	1	1	2	1
gene170	chr1	510000	512213	+	2213	1	2	1	2	2	1	2	1	1
gene171	chr1	513000	514666	+	1666	1	1	1	2	2	2	1	1	1
gene172	chr1	516000	518043	+	2043	1	2	1	2	2	1	1	1	2
gene173	chr1	519000	519881	+	881	1	2	1	2	2	1	1	2	2
gene174	chr1	522000	523560	+	1560	1	1	2	1	1	1	2	1	1
gene175	chr1	525000	526948	+	1948	2	2	2	1	2	1	2	2	2
gene176	chr1	528000	529645	+	1645	2	2	2	2	2	1	2	2	1
gene177	chr1	531000	532407	+	1407	2	1	2	2	1	1	1	2	1
gene178	chr1	534000	535302	+	1302	2	2	2	2	2	2	1	2	1
gene179	chr1	537000	538486	+	1486	2	2	2	2	2	2	1	2	1
gene180	chr1	540000	541580	+	1580	2	2	2	2	1	1	1	2	1
gene181	chr1	543000	544434	+	1434	1	1	1	2	1	2	1	1	2
gene182	chr1	546000	547674	+	1674	1	2	2	1	1	1	2	1	2
gene183	chr1	549000	550186	+	1186	1	1	1	1	1	1	1	2	1
gene184	chr1	552000	553516	+	1516	2	2	1	2	1	1	1	2	1
gene185	chr1	555000	557533	+	2533	1	1	2	1	2	1	1	1	1
gene186	chr1	558000	560303	+	2303	1	1	2	2	2	2	2	2	2
gene187	chr1	561000	562345	+	1345	1	2	2	1	1	2	1	1	1
gene188	chr1	564000	566533	+	2533	2	1	1	2	1	2	1	1	2
gene189	chr1	567000	568037	+	1037	1	1	2	1	2	1	1	2	1
gene190	chr1	570000	572277	+	2277	1	1	2	2	1	1	1	1	1
gene191	chr1	573000	575480	+	2480	1	2	1	2	2	1	2	1	1
gene192	chr1	576000	577344	+	1344	2	1	2	2	1	1	2	2	1
gene193	chr1	579000	580953	+	1953	2	1	2	2	1	2	1	2	1
gene194	chr1	582000	583747	+	1747	1	1	1	1	1	1	1	2	1
gene195	chr1	585000	586162	+	1162	2	2	2	1	2	1	1	2	2
gene196	chr1	588000	589222	+	1222	1	2	1	1	1	2	1	1	1
gene197	chr1	591000	593470	+	2470	2	1	1	2	1	2	2	1	2
gene198	chr1	594000	596731	+	2731	1	2	2	2	1	1	2	1	1
gene199	chr1	597000	598492	+	1492	2	1	2	1	1	2	1	2	2
gene200	chr1	600000	601556	+	1556	2	1	1	2	2	1	1	2	2
