target_id	length	eff_length	est_counts	tpm
OG068_t2	2501	2351.000	135	1728.476971
OG069_t1	2168	2018.000	35	522.070725
OG069_t2	2169	2019.000	39	581.447820
OG070_t1	1545	1395.000	40	863.114161
OG070_t2	2598	2448.000	39	479.551940
OG071_t1	1077	927.000	51	1656.047923
OG071_t2	1810	1660.000	35	634.661881
OG072_t1	1089	939.000	70	2243.958941
OG072_t2	1030	880.000	65	2223.377175
OG073_t1	2030	1880.000	295	4723.311903
OG073_t2	978	828.000	263	9561.100211
OG074_t1	2096	1946.000	47	727.005138
OG074_t2	1690	1540.000	77	1505.055318
OG075_t1	754	604.000	3	149.508806
OG075_t2	2220	2070.000	2	29.083195
OG076_t1	862	712.000	28	1183.751374
OG076_t2	743	593.000	44	2233.471636
OG077_t1	2092	1942.000	5	77.500274
OG077_t2	1252	1102.000	5	136.574893
OG078_t1	1597	1447.000	331	6885.602078
OG078_t2	2377	2227.000	285	3852.184694
OG079_t1	925	775.000	6	233.040823
OG079_t2	1788	1638.000	9	165.390694
OG080_t1	1566	1416.000	9	191.320591
OG080_t2	1912	1762.000	12	205.001859
OG081_t1	1855	1705.000	61	1076.931078
OG081_t2	1242	1092.000	71	1957.123216
OG082_t1	1961	1811.000	164	2725.887048
OG082_t2	1069	919.000	186	6092.280505
OG083_t1	1250	1100.000	390	10672.210439
OG083_t2	1353	1203.000	415	10384.005937
OG084_t1	2247	2097.000	77	1105.286214
OG084_t2	2686	2536.000	60	712.171286
OG085_t1	982	832.000	8	289.433715
OG085_t2	1330	1180.000	8	204.075297
OG086_t1	2210	2060.000	71	1037.465317
OG086_t2	1911	1761.000	61	1042.684548
OG087_t1	1458	1308.000	5	115.065391
OG087_t2	2612	2462.000	3	36.678846
OG088_t1	1771	1621.000	368	6833.563938
OG088_t2	2576	2426.000	347	4305.475643
OG089_t1	2109	1959.000	3	46.096641
OG089_t2	1100	950.000	4	126.741500
OG090_t1	2539	2389.000	203	2557.775049
OG090_t2	1966	1816.000	187	3099.618332
OG091_t1	786	636.000	92	4354.248091
OG091_t2	1731	1581.000	137	2608.381766
OG092_t1	2330	2180.000	66	911.317899
OG092_t2	1905	1755.000	78	1337.826950
OG093_t1	1805	1655.000	80	1455.038374
OG093_t2	1239	1089.000	89	2460.053688
OG094_t1	1807	1657.000	32	581.312857
OG094_t2	1114	964.000	27	843.080780
OG095_t1	1487	1337.000	115	2589.100398
OG095_t2	2363	2213.000	119	1618.631567
OG096_t1	1052	902.000	65	2169.148463
OG096_t2	1385	1235.000	44	1072.428081
OG097_t1	1373	1223.000	45	1107.563194
OG097_t2	2166	2016.000	58	866.004052
OG098_t1	2691	2541.000	12	142.153985
OG098_t2	1607	1457.000	12	247.915770
OG099_t1	1967	1817.000	5	82.831883
OG099_t2	2692	2542.000	5	59.207526
OG100_t1	1423	1273.000	62	1466.039744
OG100_t2	2392	2242.000	44	590.744282
OG101_t1	1228	1078.000	10	279.231042
OG101_t2	916	766.000	14	550.150769
OG102_t1	2165	2015.000	131	1956.945377
OG102_t2	2535	2385.000	199	2511.580783
OG103_t1	1441	1291.000	94	2191.714948
OG103_t2	1606	1456.000	63	1302.451718
OG104_t1	2350	2200.000	12	164.187853
OG104_t2	2455	2305.000	14	182.826676
OG105_t1	2280	2130.000	6	84.791849
OG105_t2	863	713.000	6	253.305243
OG106_t1	1251	1101.000	154	4210.327321
OG106_t2	788	638.000	162	7643.227635
OG107_t1	975	825.000	22	802.696170
OG107_t2	1014	864.000	24	836.141844
OG108_t1	1095	945.000	254	8090.667743
OG108_t2	2014	1864.000	296	4780.004015
OG109_t1	1008	858.000	10	350.828746
OG109_t2	2091	1941.000	15	232.620606
OG110_t1	2419	2269.000	17	225.526138
OG110_t2	2212	2062.000	25	364.950368
OG111_t1	1194	1044.000	144	4151.876740
OG111_t2	2381	2231.000	118	1592.080032
OG112_t1	878	728.000	202	8352.230063
OG112_t2	1217	1067.000	183	5162.607746
OG113_t1	2648	2498.000	18	216.901487
OG113_t2	2594	2444.000	15	184.744925
OG114_t1	1412	1262.000	43	1025.631992
OG114_t2	742	592.000	42	2135.551465
OG115_t1	805	655.000	155	7123.162575
OG115_t2	1499	1349.000	228	5087.510935
OG116_t1	1316	1166.000	185	4775.904526
OG116_t2	2333	2183.000	222	3061.129461
OG117_t1	1356	1206.000	39	973.418863
OG117_t2	1324	1174.000	38	974.311790
OG118_t1	1746	1596.000	47	886.436090
OG118_t2	2286	2136.000	55	775.075304
OG119_t1	926	776.000	4	155.160342
OG119_t2	836	686.000	6	263.274983
OG120_t1	2177	2027.000	4	59.400309
OG120_t2	1393	1243.000	3	72.649492
OG121_t1	1350	1200.000	180	4515.165955
OG121_t2	1774	1624.000	108	2001.797714
OG122_t1	1645	1495.000	7	140.941635
OG122_t2	2435	2285.000	10	131.733507
OG123_t1	1782	1632.000	212	3910.192739
OG123_t2	1360	1210.000	172	4278.834955
OG124_t1	2366	2216.000	28	380.338889
OG124_t2	1581	1431.000	26	546.910388
OG125_t1	1304	1154.000	29	756.440281
OG125_t2	963	813.000	37	1369.915050
OG126_t1	1580	1430.000	13	273.646422
OG126_t2	746	596.000	9	454.546908
OG127_t1	1712	1562.000	40	770.834990
OG127_t2	888	738.000	65	2651.181455
OG128_t1	1229	1079.000	85	2371.264172
OG128_t2	1536	1386.000	98	2128.361056
OG129_t1	895	745.000	4	161.616678
OG129_t2	1335	1185.000	4	101.607110
OG130_t1	1882	1732.000	13	225.932092
OG130_t2	2037	1887.000	16	255.229307
OG131_t1	1189	1039.000	32	927.079311
OG131_t2	1424	1274.000	26	614.308293
OG132_t1	1644	1494.000	372	7495.054597
OG132_t2	2368	2218.000	289	3922.100875
OG133_t1	1970	1820.000	17	281.164180
OG133_t2	2177	2027.000	17	252.451311
OG134_t1	864	714.000	76	3204.039333
OG134_t2	2115	1965.000	100	1531.862919
OG135_t1	2400	2250.000	6	80.269617
OG135_t2	2198	2048.000	7	102.884641
OG136_t1	1174	1024.000	140	4115.385636
OG136_t2	2435	2285.000	101	1330.508421
OG137_t1	1705	1555.000	10	193.576247
OG137_t2	2134	1984.000	12	182.063143
OG138_t1	1433	1283.000	44	1032.306064
OG138_t2	2330	2180.000	33	455.658950
OG139_t1	1092	942.000	3	95.863396
OG139_t2	1556	1406.000	3	64.227112
OG140_t1	1593	1443.000	7	146.020613
OG140_t2	1693	1543.000	5	97.540850
OG141_t1	2201	2051.000	13	190.791995
OG141_t2	1755	1605.000	9	168.791251
OG142_t1	1089	939.000	17	544.961457
OG142_t2	969	819.000	11	404.288364
OG143_t1	2385	2235.000	227	3057.248835
OG143_t2	1049	899.000	268	8973.411019
OG144_t1	2024	1874.000	34	546.124662
OG144_t2	2027	1877.000	52	833.914508
OG145_t1	1725	1575.000	95	1815.622289
OG145_t2	1440	1290.000	104	2426.755862
OG146_t1	2200	2050.000	8	117.467732
OG146_t2	2503	2353.000	9	115.133854
OG147_t1	781	631.000	185	8825.205512
OG147_t2	2476	2326.000	156	2018.818828
OG148_t1	1059	909.000	6	198.687171
OG148_t2	2007	1857.000	7	113.466745
OG149_t1	2301	2151.000	156	2183.064897
OG149_t2	804	654.000	123	5661.217252
OG150_t1	1396	1246.000	11	265.740104
OG150_t2	1953	1803.000	8	133.560095
OG151_t1	2114	1964.000	6	91.958573
OG151_t2	1498	1348.000	4	89.320790
OG152_t1	2574	2424.000	7	86.925637
OG152_t2	1959	1809.000	10	166.396387
OG153_t1	1330	1180.000	3	76.528237
OG153_t2	2337	2187.000	3	41.290955
OG154_t1	1360	1210.000	274	6816.283591
OG154_t2	2157	2007.000	279	4184.458733
OG155_t1	1891	1741.000	73	1262.137142
OG155_t2	1363	1213.000	74	1836.341196
OG156_t1	2348	2198.000	56	766.907169
OG156_t2	2424	2274.000	66	873.646887
OG157_t1	2507	2357.000	10	127.709403
OG157_t2	893	743.000	11	445.642221
OG158_t1	2132	1982.000	371	5634.465420
OG158_t2	1445	1295.000	343	7972.725470
OG159_t1	2598	2448.000	226	2778.942009
OG159_t2	2354	2204.000	311	4247.479165
OG160_t1	2361	2211.000	12	163.370998
OG160_t2	1654	1504.000	8	160.112268
OG161_t1	1560	1410.000	129	2753.931008
OG161_t2	2542	2392.000	205	2579.735286
OG162_t1	1668	1518.000	28	555.224623
OG162_t2	1399	1249.000	26	626.604296
OG163_t1	1971	1821.000	16	264.479792
OG163_t2	2322	2172.000	11	152.445750
OG164_t1	2226	2076.000	131	1899.443610
OG164_t2	733	583.000	109	5627.822631
OG165_t1	2502	2352.000	7	89.586626
OG165_t2	1536	1386.000	10	217.179700
OG166_t1	1665	1515.000	20	397.374341
OG166_t2	1181	1031.000	24	700.704707
OG167_t1	1800	1650.000	14	255.403327
OG167_t2	1177	1027.000	14	410.336406
OG168_t1	1245	1095.000	18	494.812707
OG168_t2	1634	1484.000	20	405.675288
OG169_t1	1391	1241.000	100	2425.552487
OG169_t2	1637	1487.000	91	1842.098641
OG170_t1	1006	856.000	258	9072.529723
OG170_t2	1689	1539.000	395	7725.755045
OG171_t1	2282	2132.000	278	3925.003551
OG171_t2	897	747.000	228	9187.486281
OG172_t1	929	779.000	56	2163.879277
OG172_t2	1609	1459.000	51	1052.197687
OG173_t1	2558	2408.000	189	2362.586837
OG173_t2	2164	2014.000	163	2436.186861
OG174_t1	2228	2078.000	3	43.456843
OG174_t2	977	827.000	3	109.193856
OG175_t1	1582	1432.000	23	483.467491
OG175_t2	1558	1408.000	27	577.222920
OG176_t1	1708	1558.000	80	1545.628055
OG176_t2	1925	1775.000	89	1509.294911
OG177_t1	1200	1050.000	7	200.674042
OG177_t2	2264	2114.000	5	71.194670
OG178_t1	1663	1513.000	22	437.689584
OG178_t2	1489	1339.000	20	449.605771
OG179_t1	1696	1546.000	13	253.114090
OG179_t2	2326	2176.000	11	152.165519
OG180_t1	1093	943.000	17	542.649850
OG180_t2	2329	2179.000	13	179.584389
OG181_t1	1913	1763.000	8	136.590386
OG181_t2	1958	1808.000	7	116.541894
OG182_t1	1883	1733.000	3	52.108089
OG182_t2	2236	2086.000	3	43.290182
OG183_t1	1868	1718.000	4	70.084066
OG183_t2	2465	2315.000	3	39.007913
OG184_t1	1543	1393.000	256	5531.861615
OG184_t2	1640	1490.000	256	5171.733711
OG185_t1	2651	2501.000	211	2539.517570
OG185_t2	1215	1065.000	292	8253.073295
OG186_t1	2170	2020.000	135	2011.707604
OG186_t2	956	806.000	103	3846.667439
OG187_t1	942	792.000	2	76.012895
OG187_t2	2248	2098.000	3	43.042573
OG188_t1	2239	2089.000	25	360.233441
OG188_t2	2417	2267.000	30	398.338417
OG189_t1	1677	1527.000	148	2917.461521
OG189_t2	2069	1919.000	121	1897.985342
OG190_t1	1508	1358.000	94	2083.581737
OG190_t2	2145	1995.000	105	1584.268756
OG191_t1	869	719.000	38	1590.879057
OG191_t2	2358	2208.000	39	531.677151
OG192_t1	2031	1881.000	186	2976.504936
OG192_t2	2289	2139.000	239	3363.330725
OG193_t1	2026	1876.000	3	48.136098
OG193_t2	758	608.000	4	198.033595
OG194_t1	2271	2121.000	5	70.959704
OG194_t2	2666	2516.000	4	47.855495
OG195_t1	1926	1776.000	29	491.515813
OG195_t2	1965	1815.000	39	646.800633
OG196_t1	2137	1987.000	64	969.537397
OG196_t2	1943	1793.000	84	1410.202418
OG197_t1	1931	1781.000	10	169.012388
OG197_t2	831	681.000	15	663.019964
OG198_t1	1921	1771.000	68	1155.773706
OG198_t2	2376	2226.000	47	635.557951
OG199_t1	1554	1404.000	34	728.944171
OG199_t2	2202	2052.000	35	513.420430
OG200_t1	1128	978.000	329	10126.036804
OG200_t2	2007	1857.000	288	4668.346060
